pair_id,nmi,n_overlap_px
eval_5842WCu-Spalled_SEM-SE_SEM-BSE_Multiscale_0#0,0.021099,17650
eval_AF9628-Martensitic_SEM-SE-Stitch_EBSD_SameSlice_0#0,0.035201,70602
eval_AF9628-Martensitic_SEM-SE-Stitch_EBSD_SameSlice_0#1,0.003993,70602
eval_AF9628-Martensitic_SEM-SE-Stitch_EBSD_SameSlice_0#2,0.009809,70602
eval_AF9628-Martensitic_SEM-SE-Stitch_EBSD_SameSlice_1#0,0.025038,63388
eval_AF9628-Martensitic_SEM-SE-Stitch_EBSD_SameSlice_1#1,0.007603,63388
eval_AF9628-Martensitic_SEM-SE-Stitch_EBSD_SameSlice_1#2,0.044983,63388
eval_AF9628-Martensitic_SEM-SE-Stitch_EBSD_SameSlice_2#0,0.013021,83275
eval_AF9628-Martensitic_SEM-SE-Stitch_EBSD_SameSlice_2#1,0.006055,83275
eval_AF9628-Martensitic_SEM-SE-Stitch_EBSD_SameSlice_2#2,0.047202,83275
eval_AF9628-Martensitic_SEM-SE-Stitch_EBSD_SameSlice_3#0,0.029847,68352
eval_AF9628-Martensitic_SEM-SE-Stitch_EBSD_SameSlice_3#1,0.009313,68352
eval_AF9628-Martensitic_SEM-SE-Stitch_EBSD_SameSlice_3#2,0.055805,68352
eval_AF9628-Martensitic_SEM-SE-Stitch_EBSD_SameSlice_4#0,0.022270,64848
eval_AF9628-Martensitic_SEM-SE-Stitch_EBSD_SameSlice_4#1,0.010609,64848
eval_AF9628-Martensitic_SEM-SE-Stitch_EBSD_SameSlice_4#2,0.064379,64848
eval_C103_SEM-SE_LOM-DC-Height_FractureSurfaces_0#0,0.096008,102542
eval_C103_SEM-SE_LOM-DC-Height_FractureSurfaces_0#1,0.118567,102542
eval_C103_SEM-SE_LOM-DC-Height_FractureSurfaces_1#0,0.152142,120232
eval_C103_SEM-SE_LOM-DC-Height_FractureSurfaces_1#1,0.076268,120232
eval_C103_SEM-SE_LOM-DC-Height_FractureSurfaces_2#0,0.059725,99285
eval_C103_SEM-SE_LOM-DC-Height_FractureSurfaces_2#1,0.049202,99285
