pair_id,group,subclass,backbone,mode,fov_ratio,scale_ratio,n_gt,n_matches,n_inliers,family,runtime_s,mu_ed,med_ed,p1,p3,p5,p10,mu_ed_tps,med_ed_tps,status,error
eval_5842WCu-Spalled_SEM-SE_SEM-BSE_Multiscale_0#0,Multiscale,5842WCu-Spalled_SEM-SE_SEM-BSE_Multiscale,sift,direct,0.2308,0.05769,19,12,4,homography,1.13,220.267,215.970,0.000,0.000,0.000,0.000,,,ok,
eval_AF9628-Martensitic_SEM-SE-Stitch_EBSD_SameSlice_0#0,SameSlice,AF9628-Martensitic_SEM-SE-Stitch_EBSD_SameSlice,sift,direct,0.8729,0.32023,37,8,4,homography,10.43,2876.805,2626.576,0.000,0.000,0.000,0.000,,,ok,
eval_AF9628-Martensitic_SEM-SE-Stitch_EBSD_SameSlice_0#1,SameSlice,AF9628-Martensitic_SEM-SE-Stitch_EBSD_SameSlice,sift,direct,,,37,,,,,,,,,,,,,failed,only 3 correspondences
eval_AF9628-Martensitic_SEM-SE-Stitch_EBSD_SameSlice_0#2,SameSlice,AF9628-Martensitic_SEM-SE-Stitch_EBSD_SameSlice,sift,direct,0.8729,0.32023,37,42,5,affine,10.18,9944.564,8257.182,0.000,0.000,0.000,0.000,,,ok,
eval_AF9628-Martensitic_SEM-SE-Stitch_EBSD_SameSlice_1#0,SameSlice,AF9628-Martensitic_SEM-SE-Stitch_EBSD_SameSlice,sift,direct,0.9104,0.35657,39,13,5,homography,8.05,2505.663,2051.133,0.000,0.000,0.000,0.000,,,ok,
eval_AF9628-Martensitic_SEM-SE-Stitch_EBSD_SameSlice_1#1,SameSlice,AF9628-Martensitic_SEM-SE-Stitch_EBSD_SameSlice,sift,direct,0.9104,0.35657,39,6,3,affine,8.11,2151.284,2049.311,0.000,0.000,0.000,0.000,,,ok,
eval_AF9628-Martensitic_SEM-SE-Stitch_EBSD_SameSlice_1#2,SameSlice,AF9628-Martensitic_SEM-SE-Stitch_EBSD_SameSlice,sift,direct,0.9104,0.35657,39,65,7,homography,8.18,2602.196,2275.410,0.000,0.000,0.000,0.000,,,ok,
eval_AF9628-Martensitic_SEM-SE-Stitch_EBSD_SameSlice_2#0,SameSlice,AF9628-Martensitic_SEM-SE-Stitch_EBSD_SameSlice,sift,direct,0.7688,0.35658,37,22,4,affine,7.68,5919.615,6033.045,0.000,0.000,0.000,0.000,,,ok,
eval_AF9628-Martensitic_SEM-SE-Stitch_EBSD_SameSlice_2#1,SameSlice,AF9628-Martensitic_SEM-SE-Stitch_EBSD_SameSlice,sift,direct,0.7688,0.35658,37,9,3,affine,7.75,17065.601,14335.938,0.000,0.000,0.000,0.000,,,ok,
eval_AF9628-Martensitic_SEM-SE-Stitch_EBSD_SameSlice_2#2,SameSlice,AF9628-Martensitic_SEM-SE-Stitch_EBSD_SameSlice,sift,direct,0.7688,0.35658,37,48,5,homography,7.70,1337.004,1395.025,0.000,0.000,0.000,0.000,,,ok,
eval_AF9628-Martensitic_SEM-SE-Stitch_EBSD_SameSlice_3#0,SameSlice,AF9628-Martensitic_SEM-SE-Stitch_EBSD_SameSlice,sift,direct,0.0113,0.02806,42,27,4,homography,8.14,9845.532,4061.511,0.000,0.000,0.000,0.000,,,ok,
eval_AF9628-Martensitic_SEM-SE-Stitch_EBSD_SameSlice_3#1,SameSlice,AF9628-Martensitic_SEM-SE-Stitch_EBSD_SameSlice,sift,direct,0.0113,0.02806,42,25,4,homography,8.20,5876.137,5072.907,0.000,0.000,0.000,0.000,,,ok,
eval_AF9628-Martensitic_SEM-SE-Stitch_EBSD_SameSlice_3#2,SameSlice,AF9628-Martensitic_SEM-SE-Stitch_EBSD_SameSlice,sift,direct,0.0113,0.02806,42,60,4,homography,8.05,5804.371,6005.750,0.000,0.000,0.000,0.000,,,ok,
eval_AF9628-Martensitic_SEM-SE-Stitch_EBSD_SameSlice_4#0,SameSlice,AF9628-Martensitic_SEM-SE-Stitch_EBSD_SameSlice,sift,direct,0.9303,0.35637,53,9,4,homography,8.90,7740.282,3842.657,0.000,0.000,0.000,0.000,,,ok,
eval_AF9628-Martensitic_SEM-SE-Stitch_EBSD_SameSlice_4#1,SameSlice,AF9628-Martensitic_SEM-SE-Stitch_EBSD_SameSlice,sift,direct,0.9303,0.35637,53,5,3,affine,9.06,36412.823,30822.353,0.000,0.000,0.000,0.000,,,ok,
eval_AF9628-Martensitic_SEM-SE-Stitch_EBSD_SameSlice_4#2,SameSlice,AF9628-Martensitic_SEM-SE-Stitch_EBSD_SameSlice,sift,direct,0.9303,0.35637,53,59,7,homography,8.61,2751.314,2282.066,0.000,0.000,0.000,0.000,,,ok,
eval_C103_SEM-SE_LOM-DC-Height_FractureSurfaces_0#0,FractureSurfaces,C103_SEM-SE_LOM-DC-Height_FractureSurfaces,sift,direct,0.9991,1.95136,41,45,5,homography,1.66,465.991,306.516,0.000,0.000,0.000,0.000,,,ok,
