pair_id,group,subclass,backbone,mode,fov_ratio,scale_ratio,n_gt,n_matches,n_inliers,family,runtime_s,mu_ed,med_ed,p1,p3,p5,p10,mu_ed_tps,med_ed_tps,status,error
eval_5842WCu-Spalled_SEM-SE_SEM-BSE_Multiscale_0#0,Multiscale,5842WCu-Spalled_SEM-SE_SEM-BSE_Multiscale,ma_roma_ft,direct,0.2308,0.05769,19,10000,1452,homography,3.47,202.568,218.602,0.000,0.000,0.000,0.000,167.760,176.812,ok,
eval_AF9628-Martensitic_SEM-SE-Stitch_EBSD_SameSlice_0#0,SameSlice,AF9628-Martensitic_SEM-SE-Stitch_EBSD_SameSlice,ma_roma_ft,direct,0.8729,0.32023,37,10000,4611,affine,1.91,7.070,6.063,0.000,0.216,0.405,0.757,7.484,6.263,ok,
eval_AF9628-Martensitic_SEM-SE-Stitch_EBSD_SameSlice_0#1,SameSlice,AF9628-Martensitic_SEM-SE-Stitch_EBSD_SameSlice,ma_roma_ft,direct,0.8729,0.32023,37,10000,2461,affine,1.92,9.782,7.734,0.027,0.162,0.297,0.622,9.728,7.387,ok,
eval_AF9628-Martensitic_SEM-SE-Stitch_EBSD_SameSlice_0#2,SameSlice,AF9628-Martensitic_SEM-SE-Stitch_EBSD_SameSlice,ma_roma_ft,direct,0.8729,0.32023,37,10000,5577,affine,1.90,6.325,4.709,0.000,0.270,0.514,0.811,6.611,5.712,ok,
eval_AF9628-Martensitic_SEM-SE-Stitch_EBSD_SameSlice_1#0,SameSlice,AF9628-Martensitic_SEM-SE-Stitch_EBSD_SameSlice,ma_roma_ft,direct,0.9104,0.35657,39,10000,4938,affine,1.63,5.477,4.845,0.026,0.231,0.513,0.923,6.486,6.047,ok,
eval_AF9628-Martensitic_SEM-SE-Stitch_EBSD_SameSlice_1#1,SameSlice,AF9628-Martensitic_SEM-SE-Stitch_EBSD_SameSlice,ma_roma_ft,direct,0.9104,0.35657,39,10000,2911,homography,1.71,9.020,9.629,0.000,0.077,0.205,0.590,9.329,9.211,ok,
eval_AF9628-Martensitic_SEM-SE-Stitch_EBSD_SameSlice_1#2,SameSlice,AF9628-Martensitic_SEM-SE-Stitch_EBSD_SameSlice,ma_roma_ft,direct,0.9104,0.35657,39,10000,5279,affine,1.56,4.841,4.620,0.051,0.256,0.564,0.949,4.901,4.683,ok,
eval_AF9628-Martensitic_SEM-SE-Stitch_EBSD_SameSlice_2#0,SameSlice,AF9628-Martensitic_SEM-SE-Stitch_EBSD_SameSlice,ma_roma_ft,direct,0.7688,0.35658,37,10000,5801,affine,1.64,3.882,3.772,0.027,0.405,0.757,1.000,5.011,3.657,ok,
eval_AF9628-Martensitic_SEM-SE-Stitch_EBSD_SameSlice_2#1,SameSlice,AF9628-Martensitic_SEM-SE-Stitch_EBSD_SameSlice,ma_roma_ft,direct,0.7688,0.35658,37,10000,3505,affine,1.40,5.522,5.724,0.108,0.189,0.486,0.919,6.282,5.138,ok,
eval_AF9628-Martensitic_SEM-SE-Stitch_EBSD_SameSlice_2#2,SameSlice,AF9628-Martensitic_SEM-SE-Stitch_EBSD_SameSlice,ma_roma_ft,direct,0.7688,0.35658,37,10000,5209,affine,1.35,5.129,4.747,0.000,0.243,0.568,0.946,5.863,4.992,ok,
