step,loss,med_mu_ed,sr10,sr20,saved
100,5.9768,28.824,0.321,0.464,1
200,4.5389,25.850,0.321,0.464,1
300,3.5807,22.569,0.286,0.464,1
400,2.4390,22.573,0.286,0.464,0
500,3.0832,19.837,0.357,0.500,1
600,1.9007,23.387,0.321,0.464,0
700,2.6290,18.436,0.357,0.536,1
800,2.8842,19.093,0.429,0.500,0
900,5.0196,17.546,0.393,0.536,1
1000,3.8977,20.716,0.357,0.500,0
1100,2.9364,17.885,0.357,0.536,0
1200,2.7843,20.914,0.357,0.500,0
1300,3.0218,19.571,0.357,0.500,0
1400,1.8156,20.482,0.357,0.500,0
1500,2.0715,18.591,0.357,0.500,0
