pair_id,group,subclass,backbone,mode,fov_ratio,scale_ratio,n_gt,n_matches,n_inliers,family,runtime_s,mu_ed,med_ed,p1,p3,p5,p10,mu_ed_tps,med_ed_tps,status,error,rung,area_ratio,n_gt_inside
eval_AF9628-Martensitic_SEM-SE-Stitch_EBSD_SameSlice_0#2,SameSlice,AF9628-Martensitic_SEM-SE-Stitch_EBSD_SameSlice,roma,direct,0.7008,0.32023,37,10000,513,affine,3.09,45.314,38.581,0.000,0.000,0.027,0.081,76.664,66.838,ok,,0.5,0.5000,22
eval_AF9628-Martensitic_SEM-SE-Stitch_EBSD_SameSlice_0#2,SameSlice,AF9628-Martensitic_SEM-SE-Stitch_EBSD_SameSlice,roma,pyramid_v2,0.7008,0.32023,37,10000,507,affine@direct,1.40,39.924,34.344,0.000,0.000,0.027,0.081,49.208,41.230,ok,,0.5,0.5000,22
eval_AF9628-Martensitic_SEM-SE-Stitch_EBSD_SameSlice_0#2,SameSlice,AF9628-Martensitic_SEM-SE-Stitch_EBSD_SameSlice,roma,direct,0.4955,0.32023,37,10000,1846,homography,1.02,36.786,29.846,0.000,0.000,0.081,0.216,28.474,23.989,ok,,0.25,0.2500,10
eval_AF9628-Martensitic_SEM-SE-Stitch_EBSD_SameSlice_0#2,SameSlice,AF9628-Martensitic_SEM-SE-Stitch_EBSD_SameSlice,roma,pyramid_v2,0.4955,0.32023,37,10000,2024,affine@direct,2.14,7.953,6.314,0.000,0.243,0.432,0.676,30.312,26.696,ok,,0.25,0.2500,10
eval_AF9628-Martensitic_SEM-SE-Stitch_EBSD_SameSlice_0#2,SameSlice,AF9628-Martensitic_SEM-SE-Stitch_EBSD_SameSlice,roma,direct,0.3134,0.32023,37,10000,104,affine,0.82,767.994,674.021,0.000,0.000,0.000,0.000,718.798,627.653,ok,,0.1,0.1000,7
eval_AF9628-Martensitic_SEM-SE-Stitch_EBSD_SameSlice_0#2,SameSlice,AF9628-Martensitic_SEM-SE-Stitch_EBSD_SameSlice,roma,pyramid_v2,0.3134,0.32023,37,10000,3748,homography@direct+zoom,2.63,10.194,10.284,0.000,0.135,0.270,0.486,22.575,21.254,ok,,0.1,0.1000,7
eval_AF9628-Martensitic_SEM-SE-Stitch_EBSD_SameSlice_0#2,SameSlice,AF9628-Martensitic_SEM-SE-Stitch_EBSD_SameSlice,roma,direct,0.2216,0.32023,37,10000,1089,affine,0.77,25.816,24.420,0.000,0.027,0.108,0.162,76.168,79.214,ok,,0.05,0.0500,3
eval_AF9628-Martensitic_SEM-SE-Stitch_EBSD_SameSlice_0#2,SameSlice,AF9628-Martensitic_SEM-SE-Stitch_EBSD_SameSlice,roma,pyramid_v2,0.2216,0.32023,37,10000,7402,affine@direct+zoom,3.16,8.237,7.779,0.054,0.135,0.243,0.703,25.889,25.497,ok,,0.05,0.0500,3
eval_AF9628-Martensitic_SEM-SE-Stitch_EBSD_SameSlice_0#2,SameSlice,AF9628-Martensitic_SEM-SE-Stitch_EBSD_SameSlice,roma,direct,0.1402,0.32023,37,10000,692,homography,0.76,2445.761,2178.728,0.000,0.000,0.000,0.000,2019.801,1983.547,ok,,0.02,0.0200,1
eval_AF9628-Martensitic_SEM-SE-Stitch_EBSD_SameSlice_0#2,SameSlice,AF9628-Martensitic_SEM-SE-Stitch_EBSD_SameSlice,roma,pyramid_v2,0.1402,0.32023,37,10000,437,homography@direct+zoom,2.22,1768.285,1264.771,0.000,0.000,0.000,0.000,7035.291,6521.701,ok,,0.02,0.0200,1
eval_AF9628-Martensitic_SEM-SE-Stitch_EBSD_SameSlice_1#0,SameSlice,AF9628-Martensitic_SEM-SE-Stitch_EBSD_SameSlice,roma,direct,0.7445,0.35657,39,10000,7281,homography,1.16,5.661,5.537,0.051,0.154,0.436,0.897,6.380,5.975,ok,,0.5,0.5000,18
eval_AF9628-Martensitic_SEM-SE-Stitch_EBSD_SameSlice_1#0,SameSlice,AF9628-Martensitic_SEM-SE-Stitch_EBSD_SameSlice,roma,pyramid_v2,0.7445,0.35657,39,10000,7350,homography@direct,1.27,5.500,5.045,0.000,0.205,0.487,0.923,6.309,5.643,ok,,0.5,0.5000,18
eval_AF9628-Martensitic_SEM-SE-Stitch_EBSD_SameSlice_1#0,SameSlice,AF9628-Martensitic_SEM-SE-Stitch_EBSD_SameSlice,roma,direct,0.5264,0.35657,39,10000,5162,affine,0.98,5.939,4.381,0.051,0.256,0.538,0.795,15.114,13.241,ok,,0.25,0.2500,10
eval_AF9628-Martensitic_SEM-SE-Stitch_EBSD_SameSlice_1#0,SameSlice,AF9628-Martensitic_SEM-SE-Stitch_EBSD_SameSlice,roma,pyramid_v2,0.5264,0.35657,39,10000,6569,affine@direct+zoom,2.93,6.547,6.336,0.000,0.231,0.385,0.795,13.480,12.766,ok,,0.25,0.2500,10
eval_AF9628-Martensitic_SEM-SE-Stitch_EBSD_SameSlice_1#0,SameSlice,AF9628-Martensitic_SEM-SE-Stitch_EBSD_SameSlice,roma,direct,0.3330,0.35657,39,10000,439,homography,0.83,1550.084,1530.081,0.000,0.000,0.000,0.000,1508.230,1456.079,ok,,0.1,0.1000,3
eval_AF9628-Martensitic_SEM-SE-Stitch_EBSD_SameSlice_1#0,SameSlice,AF9628-Martensitic_SEM-SE-Stitch_EBSD_SameSlice,roma,pyramid_v2,0.3330,0.35657,39,10000,425,homography@direct,1.58,22042.672,2016.732,0.000,0.000,0.000,0.000,2028.467,2111.125,ok,,0.1,0.1000,3
eval_AF9628-Martensitic_SEM-SE-Stitch_EBSD_SameSlice_1#0,SameSlice,AF9628-Martensitic_SEM-SE-Stitch_EBSD_SameSlice,roma,direct,0.2355,0.35657,39,10000,286,affine,0.79,2180.320,2196.913,0.000,0.000,0.000,0.000,2176.238,2249.663,ok,,0.05,0.0500,1
eval_AF9628-Martensitic_SEM-SE-Stitch_EBSD_SameSlice_1#0,SameSlice,AF9628-Martensitic_SEM-SE-Stitch_EBSD_SameSlice,roma,pyramid_v2,0.2355,0.35657,39,10000,1554,homography@direct+zoom,1.45,1710.469,1656.159,0.000,0.000,0.000,0.000,1683.324,1677.340,ok,,0.05,0.0500,1
eval_AF9628-Martensitic_SEM-SE-Stitch_EBSD_SameSlice_1#0,SameSlice,AF9628-Martensitic_SEM-SE-Stitch_EBSD_SameSlice,roma,direct,0.1489,0.35657,39,10000,229,affine,0.76,1588.542,1560.449,0.000,0.000,0.000,0.000,1475.918,1373.626,ok,,0.02,0.0200,0
eval_AF9628-Martensitic_SEM-SE-Stitch_EBSD_SameSlice_1#0,SameSlice,AF9628-Martensitic_SEM-SE-Stitch_EBSD_SameSlice,roma,pyramid_v2,0.1489,0.35657,39,10000,581,homography@direct+zoom,2.85,3912.754,2173.994,0.000,0.000,0.000,0.000,1799.215,1811.773,ok,,0.02,0.0200,0
