backbone,fov_ratio,seed,success,failure_reason,mu_err,med_err,p_match_at_1,p_match_at_3,p_match_at_5,p_match_at_10,n_tiles,n_correspondences,runtime_s,extra_transform_family
classical_sift,0.5,0,True,,736.9577484824899,615.911475917007,0.0,0.0,0.0,0.0,1,6,0.24303918797522783,homography
classical_sift,0.5,1,True,,174915.11188166466,1578.546715896378,0.0,0.0,0.0,0.0,1,8,0.21581867802888155,homography
classical_sift,0.5,2,True,,550.4328329700536,375.9857283603315,0.0,0.0,0.0,0.0,1,8,0.2199593490222469,homography
classical_sift,0.5,3,True,,6566.331220183493,1136.8274086285064,0.0,0.0,0.0,0.0,1,16,0.23208593600429595,homography
classical_sift,0.5,4,True,,313.9166806495237,319.59742297072466,0.0,0.0,0.0,0.0,1,13,0.21564243908505887,homography
classical_sift,0.5,5,True,,1454.4260924866169,1278.4009182763439,0.0,0.0,0.0,0.0,1,4,0.22396855102851987,affine
classical_sift,0.5,6,True,,345.6965747106277,333.2599115915348,0.0,0.0,0.0,0.0,1,22,0.2244298589648679,homography
classical_sift,0.5,7,True,,1081.5381431387245,735.3387223351513,0.0,0.0,0.0,0.0,1,9,0.2242700100177899,homography
classical_sift,0.25,0,True,,1148.2006965331946,603.3985486824015,0.0,0.0,0.0,0.0,1,11,0.21644972497597337,homography
classical_sift,0.25,1,True,,803.2374309155944,619.842108640998,0.0,0.0,0.0,0.0,1,6,0.2278669950319454,homography
classical_sift,0.25,2,True,,987.129217059179,758.3864249716335,0.0,0.0,0.0,0.0,1,11,0.22808169294148684,homography
classical_sift,0.25,3,True,,496.53579534618154,531.6548516409284,0.0,0.0,0.0,0.0,1,15,0.21764162997715175,homography
classical_sift,0.25,4,True,,2137.873994050385,591.5279439588028,0.0,0.0,0.0,0.0,1,11,0.21811418794095516,homography
classical_sift,0.25,5,True,,741.1375180717242,672.3604298233591,0.0,0.0,0.0,0.0,1,6,0.22577645408455282,affine
classical_sift,0.25,6,True,,2040.7299811684836,650.0776939750083,0.0,0.0,0.0,0.0,1,14,0.22214863903354853,homography
classical_sift,0.25,7,True,,1071.8730237484965,336.28244295351055,0.0,0.0,0.0,0.0,1,16,0.2053853429388255,homography
classical_sift,0.1,0,True,,510.23249063161455,539.0895288200034,0.0,0.0,0.0,0.0,1,9,0.22164142201654613,homography
classical_sift,0.1,1,True,,579.2109769793242,555.4574380761376,0.0,0.0,0.0,0.0,1,10,0.21491534204687923,homography
classical_sift,0.1,2,True,,1390.4491728041078,644.7702919669612,0.0,0.0,0.0,0.0,1,12,0.22816706297453493,homography
classical_sift,0.1,3,True,,2444.2458731767674,1309.1034752404428,0.0,0.0,0.0,0.0,1,15,0.22707778692711145,homography
classical_sift,0.1,4,True,,919.767329771736,763.6891707389681,0.0,0.0,0.0,0.0,1,10,0.2307442909805104,homography
classical_sift,0.1,5,True,,897.9430447171978,621.2401605970758,0.0,0.0,0.0,0.0,1,13,0.2385017171036452,homography
classical_sift,0.1,6,True,,714.2868238872572,590.9905633739079,0.0,0.0,0.0,0.0,1,11,0.23307067109271884,homography
classical_sift,0.1,7,True,,666.7894898176696,512.3399724185767,0.0,0.0,0.0,0.0,1,16,0.22978442593012005,homography
classical_sift,0.05,0,True,,1084.979565568623,748.7452321230564,0.0,0.0,0.0,0.0,1,11,0.23152157803997397,homography
classical_sift,0.05,1,True,,1621.1589416917986,863.8731813232589,0.0,0.0,0.0,0.0,1,9,0.234273295965977,homography
classical_sift,0.05,2,True,,635.491232743004,584.0139149420222,0.0,0.0,0.0,0.0,1,10,0.22835843195207417,affine
classical_sift,0.05,3,True,,1688.8811350588198,701.8545511815848,0.0,0.0,0.0,0.0,1,13,0.23155275802128017,homography
classical_sift,0.05,4,True,,735.6754841766865,543.810805577747,0.0,0.0,0.0,0.0,1,8,0.23053833306767046,homography
classical_sift,0.05,5,True,,1525.6705598771155,694.2992071610372,0.0,0.0,0.0,0.0,1,12,0.23024946392979473,homography
classical_sift,0.05,6,True,,1948.1359744349363,367.69072240869855,0.0,0.0,0.0,0.0,1,11,0.23883263603784144,homography
