backbone,fov_ratio,seed,success,failure_reason,mu_err,med_err,p_match_at_1,p_match_at_3,p_match_at_5,p_match_at_10,n_tiles,n_correspondences,runtime_s,extra_transform_family
classical_sift,0.5,0,True,,0.6701882580639582,0.6677876744840139,1.0,1.0,1.0,1.0,1,596,0.250567484064959,affine
classical_sift,0.5,1,True,,0.6856598024147025,0.6840832285439985,1.0,1.0,1.0,1.0,1,587,0.22840329504106194,affine
classical_sift,0.5,2,True,,0.6322150379685512,0.6308432045072416,1.0,1.0,1.0,1.0,1,556,0.22703997197095305,affine
classical_sift,0.5,3,True,,0.6192680282453171,0.6195375840985207,1.0,1.0,1.0,1.0,1,587,0.22571735898964107,affine
classical_sift,0.5,4,True,,0.6810110043818338,0.6794195830141779,1.0,1.0,1.0,1.0,1,579,0.23313677904661745,affine
classical_sift,0.5,5,True,,0.5889486509135005,0.5889666303590277,1.0,1.0,1.0,1.0,1,582,0.23406976298429072,affine
classical_sift,0.5,6,True,,0.6818947026299852,0.6808593065492188,1.0,1.0,1.0,1.0,1,565,0.23968419304583222,affine
classical_sift,0.5,7,True,,0.6630367469619765,0.6634042530578188,1.0,1.0,1.0,1.0,1,554,0.2353675770573318,affine
classical_sift,0.25,0,True,,0.34665552181041265,0.3466449299202434,1.0,1.0,1.0,1.0,1,499,0.24193024111445993,affine
classical_sift,0.25,1,True,,0.36713601788017136,0.36705949768427204,1.0,1.0,1.0,1.0,1,465,0.24602215900085866,affine
classical_sift,0.25,2,True,,0.3358536935116344,0.3348696822532575,1.0,1.0,1.0,1.0,1,483,0.24619640794117004,affine
classical_sift,0.25,3,True,,0.35655568520918757,0.35649731657373346,1.0,1.0,1.0,1.0,1,512,0.2472829109756276,affine
classical_sift,0.25,4,True,,0.34661058736604866,0.3450973350072496,1.0,1.0,1.0,1.0,1,504,0.24210862000472844,affine
classical_sift,0.25,5,True,,0.3737813701111006,0.3731148381279541,1.0,1.0,1.0,1.0,1,498,0.25200119602959603,affine
classical_sift,0.25,6,True,,0.35214297350467605,0.35187629511814833,1.0,1.0,1.0,1.0,1,492,0.24828693608287722,affine
classical_sift,0.25,7,True,,0.3726277911191376,0.37412347358337855,1.0,1.0,1.0,1.0,1,458,0.2528254820499569,affine
classical_sift,0.1,0,True,,0.06956227541723045,0.06665569292803925,1.0,1.0,1.0,1.0,1,325,0.23021324491128325,affine
classical_sift,0.1,1,True,,0.09181813441797504,0.09185429721363933,1.0,1.0,1.0,1.0,1,299,0.2327478820225224,affine
classical_sift,0.1,2,True,,0.10639196724749297,0.10660318137227381,1.0,1.0,1.0,1.0,1,310,0.23516041797120124,affine
classical_sift,0.1,3,True,,0.11223466327243983,0.11190823026012928,1.0,1.0,1.0,1.0,1,295,0.23999559204094112,affine
classical_sift,0.1,4,True,,0.08485470706168813,0.0844586815397449,1.0,1.0,1.0,1.0,1,294,0.2371255869511515,affine
