backbone,fov_ratio,seed,success,failure_reason,mu_err,med_err,p_match_at_1,p_match_at_3,p_match_at_5,p_match_at_10,n_tiles,n_correspondences,runtime_s,extra_transform_family
classical_sift,0.5,0,True,,609.3924649111616,592.7103488350863,0.0,0.0,0.0,0.0,1,40,0.25554846494924277,homography
classical_sift,0.5,1,True,,438.59684512398644,457.89038261254495,0.0,0.0,0.0,0.0,1,42,0.23440006305463612,homography
classical_sift,0.5,2,True,,669.8548669493875,675.0322980452274,0.0,0.0,0.0,0.0,1,40,0.22299871197901666,homography
classical_sift,0.5,3,True,,500.5643472542012,512.5862681265395,0.0,0.0,0.0,0.0,1,46,0.23224191495683044,homography
classical_sift,0.5,4,True,,702.5414066681697,698.6194237799739,0.0,0.0,0.0,0.0,1,39,0.2413620069855824,affine
classical_sift,0.5,5,True,,6058.10025242242,548.9635136662298,0.0,0.0,0.0,0.0,1,38,0.24031450296752155,homography
classical_sift,0.5,6,True,,1036.3298718060416,1056.77608787192,0.0,0.0,0.0,0.0,1,36,0.2231828309595585,homography
classical_sift,0.5,7,True,,1899.1322153072929,561.4884912063505,0.0,0.0,0.0,0.0,1,29,0.2435053869849071,homography
classical_sift,0.25,0,True,,1305.5041119015768,1259.7481994447407,0.0,0.0,0.0,0.0,1,50,0.25392983201891184,affine
classical_sift,0.25,1,True,,933.3684248895679,578.354115884114,0.0,0.0,0.0,0.0,1,28,0.23932077700737864,homography
classical_sift,0.25,2,True,,304.52740124368455,279.4396351549383,0.0,0.0,0.0,0.0,1,38,0.23787152604199946,homography
classical_sift,0.25,3,True,,2124.3529693948285,613.9322040933898,0.0,0.0,0.0,0.0,1,35,0.24674243992194533,homography
classical_sift,0.25,4,True,,1231.9081524552405,588.3601127160748,0.0,0.0,0.0,0.0,1,34,0.24140679696574807,homography
classical_sift,0.25,5,True,,566.4595899376902,322.76593250828273,0.0,0.0,0.0,0.0,1,23,0.24496033892501146,homography
classical_sift,0.25,6,True,,366.8364488124433,368.1885035508161,0.0,0.0,0.0,0.0,1,24,0.2382740129251033,homography
classical_sift,0.25,7,True,,344.6059460446428,330.7396258631493,0.0,0.015625,0.015625,0.015625,1,30,0.2454803769942373,homography
classical_sift,0.1,0,True,,1430.308472808446,333.8167849644592,0.0,0.0,0.0,0.0,1,28,0.2436589669669047,homography
classical_sift,0.1,1,True,,755.210473339004,384.0070432127433,0.0,0.0,0.0,0.0,1,25,0.24167618702631444,homography
classical_sift,0.1,2,True,,409.09386078043576,302.3859640579168,0.0,0.0,0.0,0.0,1,44,0.24685814906843007,homography
classical_sift,0.1,3,True,,706.07629569842,596.1989139759539,0.0,0.0,0.0,0.0,1,23,0.24491896899417043,homography
classical_sift,0.1,4,True,,623.1430627601524,589.5426457563997,0.0,0.0,0.0,0.0,1,43,0.24244122300297022,affine
classical_sift,0.1,5,True,,599.7640162182432,426.1241112774921,0.0,0.0,0.0,0.0,1,26,0.24442676198668778,homography
