backbone,fov_ratio,seed,success,failure_reason,mu_err,med_err,p_match_at_1,p_match_at_3,p_match_at_5,p_match_at_10,n_tiles,n_correspondences,runtime_s,extra_transform_family
sift,0.5,0,True,,0.8118184806305984,0.8208986519677384,1.0,1.0,1.0,1.0,58,5138,1.6321614000480622,homography
sift,0.5,1,True,,0.847125049545051,0.8488056664053751,1.0,1.0,1.0,1.0,58,5124,1.599768300075084,homography
sift,0.5,2,True,,0.7925716038040971,0.7931148677566833,1.0,1.0,1.0,1.0,58,5001,1.5906402999535203,affine
sift,0.5,3,True,,0.7895473644259392,0.7893692385534915,1.0,1.0,1.0,1.0,58,5373,1.6210044999606907,affine
sift,0.5,4,True,,0.8173286920728116,0.8431965424011236,1.0,1.0,1.0,1.0,58,5219,1.6056005000136793,homography
sift,0.5,5,True,,0.7843014168984319,0.7881059662187151,1.0,1.0,1.0,1.0,58,5220,1.6214803999755532,homography
sift,0.5,6,True,,0.836717154240571,0.8368968875146228,1.0,1.0,1.0,1.0,58,5089,1.6248190999031067,affine
sift,0.5,7,True,,0.8265988509138475,0.8267754337246771,1.0,1.0,1.0,1.0,58,5138,1.6101318998262286,affine
sift,0.25,0,True,,0.5304502387310972,0.5302437786764127,1.0,1.0,1.0,1.0,58,7225,1.726810900028795,affine
sift,0.25,1,True,,0.5199630268657085,0.5199454554221894,1.0,1.0,1.0,1.0,58,7202,1.7254565998446196,affine
sift,0.25,2,True,,0.5005477911626102,0.5009917857624707,1.0,1.0,1.0,1.0,58,7076,1.7506289999000728,affine
sift,0.25,3,True,,0.5124754122350763,0.5118653069794399,1.0,1.0,1.0,1.0,58,7104,1.755250700050965,affine
sift,0.25,4,True,,0.49506867214174255,0.4953674509650126,1.0,1.0,1.0,1.0,58,7215,1.720887399977073,affine
sift,0.25,5,True,,0.537701215852151,0.537814945522926,1.0,1.0,1.0,1.0,58,7087,1.7532822999637574,affine
sift,0.25,6,True,,0.5151422971385251,0.5156221204492508,1.0,1.0,1.0,1.0,58,7492,1.729592700023204,affine
sift,0.25,7,True,,0.5259715252302317,0.5416118303191129,1.0,1.0,1.0,1.0,58,6935,1.738369599916041,homography
sift,0.1,0,True,,0.09982723344727029,0.09973648148209915,1.0,1.0,1.0,1.0,49,4663,1.4615402999334037,affine
sift,0.1,1,True,,0.0951291796735587,0.09511778113463973,1.0,1.0,1.0,1.0,49,4258,1.4595884999725968,affine
sift,0.1,2,True,,0.1011366776168059,0.10129704812429122,1.0,1.0,1.0,1.0,49,4491,1.4657329998444766,affine
sift,0.1,3,True,,0.10424008372456428,0.10428162643521374,1.0,1.0,1.0,1.0,49,4680,1.4731405000202358,affine
sift,0.1,4,True,,0.10444656634742577,0.10431036582119915,1.0,1.0,1.0,1.0,49,4233,1.4564312999136746,affine
sift,0.1,5,True,,0.0978483094338799,0.09784165441178772,1.0,1.0,1.0,1.0,49,4826,1.4955436000600457,affine
sift,0.1,6,True,,0.10369507731335423,0.10383127964152736,1.0,1.0,1.0,1.0,49,4708,1.4828356001526117,affine
sift,0.1,7,True,,0.09918559550458136,0.09925245232881541,1.0,1.0,1.0,1.0,49,4655,1.4814085001125932,affine
sift,0.05,0,True,,0.039985025371048075,0.039673308421485434,1.0,1.0,1.0,1.0,49,2684,1.2899384000338614,affine
sift,0.05,1,True,,0.04031529654347709,0.04022577555336509,1.0,1.0,1.0,1.0,49,2672,1.2775983000174165,affine
sift,0.05,2,True,,0.04930641474611859,0.0491413596179653,1.0,1.0,1.0,1.0,49,2888,1.3046602001413703,affine
sift,0.05,3,True,,0.04335205037586599,0.0430731818007794,1.0,1.0,1.0,1.0,49,2756,1.2902196999639273,affine
sift,0.05,4,True,,0.053200042388642975,0.05317583514327304,1.0,1.0,1.0,1.0,49,2726,1.3002998000010848,affine
sift,0.05,5,True,,0.04679882717829844,0.046005182912213324,1.0,1.0,1.0,1.0,49,2903,1.3056459999643266,affine
sift,0.05,6,True,,0.04610438703880128,0.045633823886465766,1.0,1.0,1.0,1.0,49,2843,1.3045646999962628,affine
sift,0.05,7,True,,0.05279082721897117,0.05274356585903041,1.0,1.0,1.0,1.0,49,2976,1.3065114000346512,affine
sift,0.02,0,True,,0.13431841384332593,0.13398473885761092,1.0,1.0,1.0,1.0,49,1475,1.1381328999996185,affine
sift,0.02,1,True,,0.14978946154810446,0.14857580507720336,1.0,1.0,1.0,1.0,49,1393,1.151670099934563,affine
sift,0.02,2,True,,0.15182983853016435,0.15249218793668462,1.0,1.0,1.0,1.0,49,1560,1.1420599000994116,affine
sift,0.02,3,True,,0.15635025412285516,0.15538659847866587,1.0,1.0,1.0,1.0,49,1471,1.150193199981004,affine
sift,0.02,4,True,,0.17141071179705955,0.1737452832329031,1.0,1.0,1.0,1.0,49,1381,1.1620229999534786,affine
sift,0.02,5,True,,0.15774857429960076,0.15784820239170785,1.0,1.0,1.0,1.0,49,1467,1.1635681001935154,affine
sift,0.02,6,True,,0.16919902390274957,0.17027948077554755,1.0,1.0,1.0,1.0,49,1623,1.18667980004102,affine
sift,0.02,7,True,,0.15477210418502205,0.1546721096248571,1.0,1.0,1.0,1.0,49,1630,1.1563903000205755,affine
