backbone,fov_ratio,seed,success,failure_reason,mu_err,med_err,p_match_at_1,p_match_at_3,p_match_at_5,p_match_at_10,n_tiles,n_correspondences,runtime_s,extra_transform_family
classical_sift,0.5,0,True,,1.0150299098286883,0.999212382305193,0.5,1.0,1.0,1.0,1,71,0.23393568606115878,affine
classical_sift,0.5,1,True,,0.8373848478301328,0.7872077683459087,0.734375,1.0,1.0,1.0,1,70,0.20506914204452187,affine
classical_sift,0.5,2,True,,0.9228766221637645,0.9384720420340623,0.703125,1.0,1.0,1.0,1,107,0.2168421510141343,homography
classical_sift,0.5,3,True,,0.8458280095775454,0.8354628432658496,0.640625,1.0,1.0,1.0,1,195,0.2056319999974221,affine
classical_sift,0.5,4,True,,0.7597458055271303,0.7588298899923555,1.0,1.0,1.0,1.0,1,272,0.2068879649741575,affine
classical_sift,0.5,5,True,,0.6127294090242328,0.6130833012258138,1.0,1.0,1.0,1.0,1,222,0.20605461695231497,affine
classical_sift,0.5,6,True,,0.6876041606499845,0.6503949078182372,0.984375,1.0,1.0,1.0,1,136,0.21013002994004637,affine
classical_sift,0.5,7,True,,0.6543144250433246,0.6470404507082854,0.984375,1.0,1.0,1.0,1,205,0.21023067005444318,affine
classical_sift,0.25,0,True,,0.36718886609271734,0.30548420504648655,1.0,1.0,1.0,1.0,1,118,0.20590808801352978,affine
classical_sift,0.25,1,True,,0.6336382574655312,0.6309570370277546,0.984375,1.0,1.0,1.0,1,118,0.19906921801157296,affine
classical_sift,0.25,2,True,,0.6030343925552857,0.5683482055874114,1.0,1.0,1.0,1.0,1,143,0.1952737650135532,affine
classical_sift,0.25,3,True,,0.4815680940336078,0.4752289590698654,1.0,1.0,1.0,1.0,1,177,0.20372266799677163,affine
classical_sift,0.25,4,True,,0.354700502348286,0.35576723134258753,1.0,1.0,1.0,1.0,1,195,0.20426520600449294,affine
classical_sift,0.25,5,True,,0.39491339215838617,0.37917086605984973,1.0,1.0,1.0,1.0,1,191,0.2059394889511168,affine
classical_sift,0.25,6,True,,0.5120479567153609,0.49719166165530343,0.96875,1.0,1.0,1.0,1,158,0.21050717902835459,affine
classical_sift,0.25,7,True,,0.4236714670986009,0.40751731749800707,1.0,1.0,1.0,1.0,1,157,0.2030601209262386,affine
classical_sift,0.1,0,True,,0.1948973037615822,0.1746114456214569,1.0,1.0,1.0,1.0,1,101,0.20260753203183413,affine
classical_sift,0.1,1,True,,0.28811520353421155,0.24593791089803382,1.0,1.0,1.0,1.0,1,90,0.19315218506380916,affine
classical_sift,0.1,2,True,,0.15314636318111718,0.14974367522968302,1.0,1.0,1.0,1.0,1,78,0.20982824196107686,affine
classical_sift,0.1,3,True,,0.14908882472452947,0.13721897715872705,1.0,1.0,1.0,1.0,1,113,0.20294557104352862,affine
classical_sift,0.1,4,True,,0.16004771090413994,0.15724811869991817,1.0,1.0,1.0,1.0,1,121,0.1951701350044459,affine
classical_sift,0.1,5,True,,0.1181045383552629,0.10671277449009234,1.0,1.0,1.0,1.0,1,111,0.20456162304617465,affine
classical_sift,0.1,6,True,,0.13813114339347254,0.1375469466219621,1.0,1.0,1.0,1.0,1,93,0.20450108498334885,affine
classical_sift,0.1,7,True,,0.15576035992427126,0.15609428478808784,1.0,1.0,1.0,1.0,1,98,0.21138288406655192,affine
classical_sift,0.05,0,True,,0.43683559385470055,0.4159763850314244,1.0,1.0,1.0,1.0,1,78,0.2099319309927523,affine
classical_sift,0.05,1,True,,0.15024703164828607,0.13294644954396306,1.0,1.0,1.0,1.0,1,62,0.20172128698322922,affine
classical_sift,0.05,2,True,,0.1595695315162132,0.15834595555151484,1.0,1.0,1.0,1.0,1,82,0.20665781502611935,affine
classical_sift,0.05,3,True,,0.11861455276809817,0.10940673240529394,1.0,1.0,1.0,1.0,1,110,0.2079904091078788,affine
classical_sift,0.05,4,True,,0.16218013647100785,0.15327321059190854,1.0,1.0,1.0,1.0,1,122,0.21512304688803852,affine
classical_sift,0.05,5,True,,0.12976187922140003,0.13224675830678417,1.0,1.0,1.0,1.0,1,98,0.21286044700536877,affine
classical_sift,0.05,6,True,,0.3169867674493754,0.2693558496870601,1.0,1.0,1.0,1.0,1,97,0.21397000295110047,affine
classical_sift,0.05,7,True,,0.04275679808203748,0.042497660232404054,1.0,1.0,1.0,1.0,1,102,0.21468651993200183,affine
classical_sift,0.02,0,True,,0.2564802152400377,0.2500239378011196,1.0,1.0,1.0,1.0,1,105,0.21110037504695356,affine
classical_sift,0.02,1,True,,0.34645728853216606,0.29252977467445074,1.0,1.0,1.0,1.0,1,107,0.2118979119695723,affine
classical_sift,0.02,2,True,,0.2252827426028983,0.20089343605949556,1.0,1.0,1.0,1.0,1,101,0.20146962709259242,affine
classical_sift,0.02,3,True,,0.17239675545745903,0.16513279891212013,1.0,1.0,1.0,1.0,1,114,0.2116681729676202,affine
classical_sift,0.02,4,True,,0.2676515503499705,0.2562404250630284,1.0,1.0,1.0,1.0,1,106,0.21287684806156904,affine
classical_sift,0.02,5,True,,0.13797412616781235,0.13042750255033003,1.0,1.0,1.0,1.0,1,108,0.21335553494282067,affine
classical_sift,0.02,6,True,,0.27925200102348385,0.254312789906727,1.0,1.0,1.0,1.0,1,90,0.20359008794184774,affine
classical_sift,0.02,7,True,,0.20495093432151257,0.186330136780871,1.0,1.0,1.0,1.0,1,112,0.21162015304435045,affine
pyramid_sift,0.5,0,True,,1.1312565859803172,1.1311465631574615,0.3125,1.0,1.0,1.0,58,687,1.1693689359817654,affine
pyramid_sift,0.5,1,True,,0.5216346349309422,0.5080924597249667,1.0,1.0,1.0,1.0,58,618,1.1383112620096654,affine
pyramid_sift,0.5,2,True,,0.9515047885227901,0.9639301278554827,0.59375,1.0,1.0,1.0,58,933,1.1931715799728408,homography
pyramid_sift,0.5,3,True,,1.0591144841043842,1.0589015473516843,0.390625,1.0,1.0,1.0,58,1193,1.2760973260737956,affine
pyramid_sift,0.5,4,True,,0.8149882700502713,0.7933368310520623,0.9375,1.0,1.0,1.0,58,1662,1.2436347079928964,affine
pyramid_sift,0.5,5,True,,0.8061334029482112,0.8046663032986903,1.0,1.0,1.0,1.0,58,1597,1.3118344580288976,affine
pyramid_sift,0.5,6,True,,0.9152113243012077,0.8859172577518806,0.703125,1.0,1.0,1.0,58,938,1.2131200899602845,affine
pyramid_sift,0.5,7,True,,0.9051878000340513,0.9086656374783082,0.703125,1.0,1.0,1.0,58,1431,1.2577784940367565,affine
pyramid_sift,0.25,0,True,,0.5720451758031487,0.5751382336989208,1.0,1.0,1.0,1.0,58,913,1.2313890689983964,affine
pyramid_sift,0.25,1,True,,0.6537906170802885,0.6706733763425539,1.0,1.0,1.0,1.0,58,993,1.1777641120133922,affine
pyramid_sift,0.25,2,True,,0.6503990171645824,0.6418411429544977,1.0,1.0,1.0,1.0,58,1112,1.1776198539882898,affine
pyramid_sift,0.25,3,True,,0.6330292697984747,0.6291039953689386,0.984375,1.0,1.0,1.0,58,1207,1.1875346399610862,affine
pyramid_sift,0.25,4,True,,0.45360163543257026,0.45333124169979055,1.0,1.0,1.0,1.0,58,1735,1.2002952119801193,affine
pyramid_sift,0.25,5,True,,0.618434749468687,0.6116279927372033,1.0,1.0,1.0,1.0,58,1499,1.1848276599776,affine
pyramid_sift,0.25,6,True,,0.7109784423126138,0.6643021746416173,0.796875,1.0,1.0,1.0,58,1283,1.1563331040088087,affine
pyramid_sift,0.25,7,True,,0.6379297460956728,0.6185906252244497,1.0,1.0,1.0,1.0,58,1407,1.1862822719849646,affine
pyramid_sift,0.1,0,True,,0.20253370678019178,0.1854526105816714,1.0,1.0,1.0,1.0,49,729,0.87798145506531,affine
pyramid_sift,0.1,1,True,,0.27731735351408504,0.2716570327883977,1.0,1.0,1.0,1.0,49,692,0.9538278209511191,affine
pyramid_sift,0.1,2,True,,0.2934254356164807,0.26211988125072194,1.0,1.0,1.0,1.0,49,560,0.9864260680042207,affine
pyramid_sift,0.1,3,True,,0.1838806077181667,0.16534090858389466,1.0,1.0,1.0,1.0,49,797,1.0168698040070012,affine
pyramid_sift,0.1,4,True,,0.11473798803817063,0.11645321037320705,1.0,1.0,1.0,1.0,49,900,0.9595263649243861,affine
