section,metric,config,config_ref,subset,rung,statistic,value,n,ci_lo,ci_hi,p_two_sided,pair_id,note
A_accuracy,raw,SIFT (Control A),,all_187,,SR@5,0.0107,187,0.0029,0.0382,,,k=2
A_accuracy,raw,SIFT (Control A),,all_187,,SR@10,0.0160,187,0.0055,0.0461,,,k=3
A_accuracy,raw,SIFT (Control A),,all_187,,SR@20,0.0214,187,0.0083,0.0537,,,k=4
A_accuracy,raw,SIFT (Control A),,all_187,,median_ED_px,903.0800,169,,,,,median over pairs with a finite error
A_accuracy,raw,SIFT (Control A),,all_187,,n_status_ok,169.0000,187,,,,,
A_accuracy,tps,SIFT (Control A),,all_187,,SR@5,0.0107,187,0.0029,0.0382,,,k=2
A_accuracy,tps,SIFT (Control A),,all_187,,SR@10,0.0160,187,0.0055,0.0461,,,k=3
A_accuracy,tps,SIFT (Control A),,all_187,,SR@20,0.0214,187,0.0083,0.0537,,,k=4
A_accuracy,tps,SIFT (Control A),,all_187,,median_ED_px,907.9730,169,,,,,median over pairs with a finite error
A_accuracy,tps,SIFT (Control A),,all_187,,n_status_ok,169.0000,187,,,,,
A_accuracy,raw,SIFT + MI (Control B),,all_187,,SR@5,0.0107,187,0.0029,0.0382,,,k=2
A_accuracy,raw,SIFT + MI (Control B),,all_187,,SR@10,0.0160,187,0.0055,0.0461,,,k=3
A_accuracy,raw,SIFT + MI (Control B),,all_187,,SR@20,0.0214,187,0.0083,0.0537,,,k=4
A_accuracy,raw,SIFT + MI (Control B),,all_187,,median_ED_px,823.6100,169,,,,,median over pairs with a finite error
A_accuracy,raw,SIFT + MI (Control B),,all_187,,n_status_ok,169.0000,187,,,,,
A_accuracy,tps,SIFT + MI (Control B),,all_187,,SR@5,0.0107,187,0.0029,0.0382,,,k=2
A_accuracy,tps,SIFT + MI (Control B),,all_187,,SR@10,0.0160,187,0.0055,0.0461,,,k=3
A_accuracy,tps,SIFT + MI (Control B),,all_187,,SR@20,0.0214,187,0.0083,0.0537,,,k=4
A_accuracy,tps,SIFT + MI (Control B),,all_187,,median_ED_px,823.6100,169,,,,,median over pairs with a finite error
A_accuracy,tps,SIFT + MI (Control B),,all_187,,n_status_ok,169.0000,187,,,,,
A_accuracy,raw,LoFTR,,all_187,,SR@5,0.0374,187,0.0182,0.0752,,,k=7
A_accuracy,raw,LoFTR,,all_187,,SR@10,0.0642,187,0.0371,0.1088,,,k=12
A_accuracy,raw,LoFTR,,all_187,,SR@20,0.0909,187,0.0575,0.1408,,,k=17
