method,fov_ratio,sr10,sr20,med_err,n,runtime_s
pyramid_only,0.05,1.000,1.000,0.10,5,18.50
pyramid_only,0.1,1.000,1.000,0.18,5,18.62
pyramid_only,0.25,1.000,1.000,0.62,5,22.02
pyramid_only,0.5,1.000,1.000,1.16,5,22.03
tta_scale,0.05,1.000,1.000,0.16,5,19.99
tta_scale,0.1,1.000,1.000,0.20,5,19.90
tta_scale,0.25,1.000,1.000,0.78,5,23.49
tta_scale,0.5,1.000,1.000,1.34,5,23.79
vanilla_direct,0.05,1.000,1.000,0.89,5,0.57
vanilla_direct,0.1,1.000,1.000,0.47,5,0.57
vanilla_direct,0.25,1.000,1.000,0.93,5,0.57
vanilla_direct,0.5,1.000,1.000,1.45,5,0.95
