pair_id,subclass,rung,method,status,err_ed,inlier_ratio,runtime_s
eval_AF9628-Martensitic_SEM-SE-Stitch_EBSD_SameSlice_0#0,AF9628-Martensitic_SEM-SE-Stitch_EBSD_SameSlice,0.25,direct,ok,46.954,0.096,0.96
eval_AF9628-Martensitic_SEM-SE-Stitch_EBSD_SameSlice_0#0,AF9628-Martensitic_SEM-SE-Stitch_EBSD_SameSlice,0.25,pyramid_v2,ok,64.452,0.146,7.66
eval_AF9628-Martensitic_SEM-SE-Stitch_EBSD_SameSlice_0#0,AF9628-Martensitic_SEM-SE-Stitch_EBSD_SameSlice,0.25,tta_scale,ok,46.529,0.271,3.18
eval_AF9628-Martensitic_SEM-SE-Stitch_EBSD_SameSlice_0#0,AF9628-Martensitic_SEM-SE-Stitch_EBSD_SameSlice,0.25,tta_guarded,ok,46.529,0.271,3.18
eval_AF9628-Martensitic_SEM-SE-Stitch_EBSD_SameSlice_0#0,AF9628-Martensitic_SEM-SE-Stitch_EBSD_SameSlice,0.1,direct,ok,1528.881,0.006,0.83
eval_AF9628-Martensitic_SEM-SE-Stitch_EBSD_SameSlice_0#0,AF9628-Martensitic_SEM-SE-Stitch_EBSD_SameSlice,0.1,pyramid_v2,ok,38.315,0.463,3.46
eval_AF9628-Martensitic_SEM-SE-Stitch_EBSD_SameSlice_0#0,AF9628-Martensitic_SEM-SE-Stitch_EBSD_SameSlice,0.1,tta_scale,ok,51.272,0.537,10.40
eval_AF9628-Martensitic_SEM-SE-Stitch_EBSD_SameSlice_0#0,AF9628-Martensitic_SEM-SE-Stitch_EBSD_SameSlice,0.1,tta_guarded,ok,51.272,0.537,10.40
eval_AF9628-Martensitic_SEM-SE-Stitch_EBSD_SameSlice_0#0,AF9628-Martensitic_SEM-SE-Stitch_EBSD_SameSlice,0.05,direct,ok,3083.508,0.007,0.76
eval_AF9628-Martensitic_SEM-SE-Stitch_EBSD_SameSlice_0#0,AF9628-Martensitic_SEM-SE-Stitch_EBSD_SameSlice,0.05,pyramid_v2,ok,3742.866,0.011,0.80
eval_AF9628-Martensitic_SEM-SE-Stitch_EBSD_SameSlice_0#0,AF9628-Martensitic_SEM-SE-Stitch_EBSD_SameSlice,0.05,tta_scale,ok,3926.035,0.010,0.81
eval_AF9628-Martensitic_SEM-SE-Stitch_EBSD_SameSlice_0#0,AF9628-Martensitic_SEM-SE-Stitch_EBSD_SameSlice,0.05,tta_guarded,ok,3742.866,0.011,0.80
eval_C103_SEM-SE_LOM-DC-Height_FractureSurfaces_0#0,C103_SEM-SE_LOM-DC-Height_FractureSurfaces,0.25,direct,ok,33.085,0.015,0.86
eval_C103_SEM-SE_LOM-DC-Height_FractureSurfaces_0#0,C103_SEM-SE_LOM-DC-Height_FractureSurfaces,0.25,pyramid_v2,ok,18.281,0.079,3.44
eval_C103_SEM-SE_LOM-DC-Height_FractureSurfaces_0#0,C103_SEM-SE_LOM-DC-Height_FractureSurfaces,0.25,tta_scale,ok,185.132,0.025,0.92
eval_C103_SEM-SE_LOM-DC-Height_FractureSurfaces_0#0,C103_SEM-SE_LOM-DC-Height_FractureSurfaces,0.25,tta_guarded,ok,18.281,0.079,3.44
eval_C103_SEM-SE_LOM-DC-Height_FractureSurfaces_0#0,C103_SEM-SE_LOM-DC-Height_FractureSurfaces,0.1,direct,ok,1229.761,0.020,0.78
eval_C103_SEM-SE_LOM-DC-Height_FractureSurfaces_0#0,C103_SEM-SE_LOM-DC-Height_FractureSurfaces,0.1,pyramid_v2,ok,1375.752,0.021,2.27
eval_C103_SEM-SE_LOM-DC-Height_FractureSurfaces_0#0,C103_SEM-SE_LOM-DC-Height_FractureSurfaces,0.1,tta_scale,ok,730.672,0.013,1.60
eval_C103_SEM-SE_LOM-DC-Height_FractureSurfaces_0#0,C103_SEM-SE_LOM-DC-Height_FractureSurfaces,0.1,tta_guarded,ok,1375.752,0.021,2.27
eval_C103_SEM-SE_LOM-DC-Height_FractureSurfaces_0#0,C103_SEM-SE_LOM-DC-Height_FractureSurfaces,0.05,direct,ok,1609.031,0.004,0.72
eval_C103_SEM-SE_LOM-DC-Height_FractureSurfaces_0#0,C103_SEM-SE_LOM-DC-Height_FractureSurfaces,0.05,pyramid_v2,ok,1592.652,0.166,213.91
eval_C103_SEM-SE_LOM-DC-Height_FractureSurfaces_0#0,C103_SEM-SE_LOM-DC-Height_FractureSurfaces,0.05,tta_scale,ok,1470.956,0.009,0.76
eval_C103_SEM-SE_LOM-DC-Height_FractureSurfaces_0#0,C103_SEM-SE_LOM-DC-Height_FractureSurfaces,0.05,tta_guarded,ok,1592.652,0.166,213.91
eval_CoNi-AM67_OM-SEM_Multiscale_0#0,CoNi-AM67_OM-SEM_Multiscale,0.25,direct,ok,14.935,0.936,1.01
eval_CoNi-AM67_OM-SEM_Multiscale_0#0,CoNi-AM67_OM-SEM_Multiscale,0.25,pyramid_v2,ok,15.289,0.931,3.14
eval_CoNi-AM67_OM-SEM_Multiscale_0#0,CoNi-AM67_OM-SEM_Multiscale,0.25,tta_scale,ok,15.754,0.905,2.08
eval_CoNi-AM67_OM-SEM_Multiscale_0#0,CoNi-AM67_OM-SEM_Multiscale,0.25,tta_guarded,ok,15.289,0.931,3.14
eval_CoNi-AM67_OM-SEM_Multiscale_0#0,CoNi-AM67_OM-SEM_Multiscale,0.1,direct,ok,1078.668,0.016,1.01
eval_CoNi-AM67_OM-SEM_Multiscale_0#0,CoNi-AM67_OM-SEM_Multiscale,0.1,pyramid_v2,ok,1784.288,0.038,2.14
eval_CoNi-AM67_OM-SEM_Multiscale_0#0,CoNi-AM67_OM-SEM_Multiscale,0.1,tta_scale,ok,1307.217,0.014,1.03
eval_CoNi-AM67_OM-SEM_Multiscale_0#0,CoNi-AM67_OM-SEM_Multiscale,0.1,tta_guarded,ok,1784.288,0.038,2.14
eval_CoNi-AM67_OM-SEM_Multiscale_0#0,CoNi-AM67_OM-SEM_Multiscale,0.05,direct,ok,1765.170,0.010,0.81
eval_CoNi-AM67_OM-SEM_Multiscale_0#0,CoNi-AM67_OM-SEM_Multiscale,0.05,pyramid_v2,ok,1432.872,0.019,0.85
eval_CoNi-AM67_OM-SEM_Multiscale_0#0,CoNi-AM67_OM-SEM_Multiscale,0.05,tta_scale,ok,2526.724,0.016,0.84
eval_CoNi-AM67_OM-SEM_Multiscale_0#0,CoNi-AM67_OM-SEM_Multiscale,0.05,tta_guarded,ok,1432.872,0.019,0.85
eval_CoNi-AM67_SEM-EBSD_SameSliceSerialSectioning_1#2,CoNi-AM67_SEM-EBSD_SameSliceSerialSectioning,0.25,direct,ok,388.736,0.034,0.65
eval_CoNi-AM67_SEM-EBSD_SameSliceSerialSectioning_1#2,CoNi-AM67_SEM-EBSD_SameSliceSerialSectioning,0.25,pyramid_v2,ok,746.685,0.037,0.66
eval_CoNi-AM67_SEM-EBSD_SameSliceSerialSectioning_1#2,CoNi-AM67_SEM-EBSD_SameSliceSerialSectioning,0.25,tta_scale,ok,719.283,0.075,0.70
eval_CoNi-AM67_SEM-EBSD_SameSliceSerialSectioning_1#2,CoNi-AM67_SEM-EBSD_SameSliceSerialSectioning,0.25,tta_guarded,ok,719.283,0.075,0.70
eval_CoNi-AM67_SEM-EBSD_SameSliceSerialSectioning_1#2,CoNi-AM67_SEM-EBSD_SameSliceSerialSectioning,0.1,direct,ok,1106.928,0.101,0.62
eval_CoNi-AM67_SEM-EBSD_SameSliceSerialSectioning_1#2,CoNi-AM67_SEM-EBSD_SameSliceSerialSectioning,0.1,pyramid_v2,ok,1118.888,0.074,0.67
eval_CoNi-AM67_SEM-EBSD_SameSliceSerialSectioning_1#2,CoNi-AM67_SEM-EBSD_SameSliceSerialSectioning,0.1,tta_scale,ok,1378.882,0.037,0.65
eval_CoNi-AM67_SEM-EBSD_SameSliceSerialSectioning_1#2,CoNi-AM67_SEM-EBSD_SameSliceSerialSectioning,0.1,tta_guarded,ok,1118.888,0.074,0.67
eval_CoNi-AM67_SEM-EBSD_SameSliceSerialSectioning_1#2,CoNi-AM67_SEM-EBSD_SameSliceSerialSectioning,0.05,direct,ok,1487.072,0.041,0.59
eval_CoNi-AM67_SEM-EBSD_SameSliceSerialSectioning_1#2,CoNi-AM67_SEM-EBSD_SameSliceSerialSectioning,0.05,pyramid_v2,ok,1080.829,0.051,1.54
eval_CoNi-AM67_SEM-EBSD_SameSliceSerialSectioning_1#2,CoNi-AM67_SEM-EBSD_SameSliceSerialSectioning,0.05,tta_scale,ok,1522.839,0.050,1.15
eval_CoNi-AM67_SEM-EBSD_SameSliceSerialSectioning_1#2,CoNi-AM67_SEM-EBSD_SameSliceSerialSectioning,0.05,tta_guarded,ok,1080.829,0.051,1.54
eval_CoNi-AM90_OM-SEM_Multiscale_0#0,CoNi-AM90_OM-SEM_Multiscale,0.25,direct,ok,210.827,0.010,0.65
eval_CoNi-AM90_OM-SEM_Multiscale_0#0,CoNi-AM90_OM-SEM_Multiscale,0.25,pyramid_v2,ok,206.483,0.019,1.20
eval_CoNi-AM90_OM-SEM_Multiscale_0#0,CoNi-AM90_OM-SEM_Multiscale,0.25,tta_scale,ok,167.663,0.041,1.32
eval_CoNi-AM90_OM-SEM_Multiscale_0#0,CoNi-AM90_OM-SEM_Multiscale,0.25,tta_guarded,ok,167.663,0.041,1.32
eval_CoNi-AM90_OM-SEM_Multiscale_0#0,CoNi-AM90_OM-SEM_Multiscale,0.1,direct,ok,1653.869,0.009,0.61
eval_CoNi-AM90_OM-SEM_Multiscale_0#0,CoNi-AM90_OM-SEM_Multiscale,0.1,pyramid_v2,ok,966.155,0.018,1.12
eval_CoNi-AM90_OM-SEM_Multiscale_0#0,CoNi-AM90_OM-SEM_Multiscale,0.1,tta_scale,ok,750.850,0.008,0.64
eval_CoNi-AM90_OM-SEM_Multiscale_0#0,CoNi-AM90_OM-SEM_Multiscale,0.1,tta_guarded,ok,966.155,0.018,1.12
eval_CoNi-AM90_OM-SEM_Multiscale_0#0,CoNi-AM90_OM-SEM_Multiscale,0.05,direct,ok,1316.200,0.008,0.62
eval_CoNi-AM90_OM-SEM_Multiscale_0#0,CoNi-AM90_OM-SEM_Multiscale,0.05,pyramid_v2,ok,1280.644,0.009,0.62
eval_CoNi-AM90_OM-SEM_Multiscale_0#0,CoNi-AM90_OM-SEM_Multiscale,0.05,tta_scale,ok,944.186,0.012,0.62
eval_CoNi-AM90_OM-SEM_Multiscale_0#0,CoNi-AM90_OM-SEM_Multiscale,0.05,tta_guarded,ok,944.186,0.012,0.62
eval_CoNi-AM90_SEM-DIC_EBSD_SlipPartitioning_0#0,CoNi-AM90_SEM-DIC_EBSD_SlipPartitioning,0.1,direct,ok,608.928,0.010,2.50
eval_CoNi-AM90_SEM-DIC_EBSD_SlipPartitioning_0#0,CoNi-AM90_SEM-DIC_EBSD_SlipPartitioning,0.1,pyramid_v2,ok,570.496,0.007,2.62
eval_CoNi-AM90_SEM-DIC_EBSD_SlipPartitioning_0#0,CoNi-AM90_SEM-DIC_EBSD_SlipPartitioning,0.1,tta_scale,ok,377.822,0.018,5.11
eval_CoNi-AM90_SEM-DIC_EBSD_SlipPartitioning_0#0,CoNi-AM90_SEM-DIC_EBSD_SlipPartitioning,0.1,tta_guarded,ok,377.822,0.018,5.11
eval_CoNi-AM90_SEM-DIC_EBSD_SlipPartitioning_0#0,CoNi-AM90_SEM-DIC_EBSD_SlipPartitioning,0.05,direct,ok,645.943,0.015,1.68
eval_CoNi-AM90_SEM-DIC_EBSD_SlipPartitioning_0#0,CoNi-AM90_SEM-DIC_EBSD_SlipPartitioning,0.05,pyramid_v2,ok,1213.419,0.030,4.96
eval_CoNi-AM90_SEM-DIC_EBSD_SlipPartitioning_0#0,CoNi-AM90_SEM-DIC_EBSD_SlipPartitioning,0.05,tta_scale,ok,549.806,0.021,1.77
eval_CoNi-AM90_SEM-DIC_EBSD_SlipPartitioning_0#0,CoNi-AM90_SEM-DIC_EBSD_SlipPartitioning,0.05,tta_guarded,ok,1213.419,0.030,4.96
eval_CoNi-AM90_SEM-EBSD_SameSlice_0#0,CoNi-AM90_SEM-EBSD_SameSlice,0.25,direct,ok,228.927,0.051,1.49
eval_CoNi-AM90_SEM-EBSD_SameSlice_0#0,CoNi-AM90_SEM-EBSD_SameSlice,0.25,pyramid_v2,ok,57.508,0.307,5.92
eval_CoNi-AM90_SEM-EBSD_SameSlice_0#0,CoNi-AM90_SEM-EBSD_SameSlice,0.25,tta_scale,ok,57.081,0.277,6.04
eval_CoNi-AM90_SEM-EBSD_SameSlice_0#0,CoNi-AM90_SEM-EBSD_SameSlice,0.25,tta_guarded,ok,57.508,0.307,5.92
eval_CoNi-AM90_SEM-EBSD_SameSlice_0#0,CoNi-AM90_SEM-EBSD_SameSlice,0.1,direct,ok,252.999,0.047,1.11
eval_CoNi-AM90_SEM-EBSD_SameSlice_0#0,CoNi-AM90_SEM-EBSD_SameSlice,0.1,pyramid_v2,ok,63.579,0.290,3.19
eval_CoNi-AM90_SEM-EBSD_SameSlice_0#0,CoNi-AM90_SEM-EBSD_SameSlice,0.1,tta_scale,ok,41.114,0.655,4.22
eval_CoNi-AM90_SEM-EBSD_SameSlice_0#0,CoNi-AM90_SEM-EBSD_SameSlice,0.1,tta_guarded,ok,41.114,0.655,4.22
eval_CoNi-AM90_SEM-EBSD_SameSlice_0#0,CoNi-AM90_SEM-EBSD_SameSlice,0.05,direct,ok,466.063,0.038,0.97
eval_CoNi-AM90_SEM-EBSD_SameSlice_0#0,CoNi-AM90_SEM-EBSD_SameSlice,0.05,pyramid_v2,ok,267.740,0.043,2.85
