seed,config,lambda,mode,n,sr5,sr10,sr20,med_ed
4,plain,0,direct,28,0.000,0.250,0.286,48.3
4,l2sp,0.01,direct,28,0.000,0.250,0.250,70.2
5,plain,0,direct,28,0.000,0.214,0.250,47.5
5,l2sp,0.01,direct,28,0.000,0.250,0.286,50.2
6,plain,0,direct,28,0.000,0.250,0.250,49.3
6,l2sp,0.01,direct,28,0.000,0.250,0.250,43.4
7,plain,0,direct,28,0.000,0.214,0.286,47.2
7,l2sp,0.01,direct,28,0.036,0.250,0.250,50.6
8,plain,0,direct,28,0.000,0.214,0.250,47.1
8,l2sp,0.01,direct,28,0.000,0.250,0.286,47.8
4,plain,0,pyramid_v2,28,0.036,0.250,0.286,53.8
4,l2sp,0.01,pyramid_v2,28,0.000,0.214,0.250,64.4
5,plain,0,pyramid_v2,28,0.000,0.250,0.250,50.4
5,l2sp,0.01,pyramid_v2,28,0.036,0.286,0.286,44.0
6,plain,0,pyramid_v2,28,0.000,0.179,0.250,51.2
6,l2sp,0.01,pyramid_v2,28,0.036,0.250,0.286,45.6
7,plain,0,pyramid_v2,28,0.000,0.250,0.286,45.4
7,l2sp,0.01,pyramid_v2,28,0.000,0.250,0.250,48.9
8,plain,0,pyramid_v2,28,0.000,0.214,0.250,46.2
8,l2sp,0.01,pyramid_v2,28,0.000,0.214,0.286,46.1
